id,title,description,price,link,image_link,additional_image_link,inventory,carrousel,publication,caution
101,Table de réception,"Grâce à sa conception pliable et légère cette table haute est facile à transporter et à installer en quelques secondes. Elle est l élément clé pour transformer l ambiance de vos événements : le format debout favorise les échanges, le professionnalisme de vos réceptions, et la conviviale de vos rassemblements, qu ils soient privés ou professionnels.<br><br><strong>Détails Techniques</strong><br>Type Table de réception haute<br>Hauteur 105 cm<br>Plateau Plastique Blanc<br>Diamètre du plateau 60 cm<br>Accessoire inclus Toile Housse de couleur Noire<br>Fonctionnalité Pliable<br>Dimensions pliée L x l x E 126 cm x 60 cm x 5 cm",6.00 EUR,https://maboitealocangevine.github.io/website/,images/table.webp,,12,Oui,Oui,40
102,Tonelle pliante 3x6m,Solution idéale pour l organisation de vos événements en extérieur cette tonnelle offre un espace couvert confortable et élégant. Sa structure est conçue pour être <strong>très facile à monter et démonter</strong> rapidement à 2 ou 3 personnes. Elle est l atout convivial et professionnel indispensable pour protéger vos convives ou vos buffets des intempéries.<br><br><strong>Détails Techniques</strong><br>Dimensions 3m x 6m<br>Capacité Accueille confortablement 15 à 20 personnes debout<br>Toile Polyester Gris Anthracite design<br>Structure Métal robuste<br>Réglage Hauteur ajustable par pied idéal en cas de pente ou de terrain non plat<br>Spécificité Instructions de montage fournies<br>Important La structure ne permet pas l ajout de toiles latérales<br><br><strong>Conseil de Sécurité</strong><br>En cas de vent fort il est impératif de replier la tonnelle pour éviter tout risque d endommagement.,20.00 EUR,https://maboitealocangevine.github.io/website/,images/tente.webp,,1,Oui,Oui,100
103,Barre d'éclairage LED,Solution d éclairage puissante et discrète idéale pour illuminer vos structures tonnelles ou zones de réception. Ces réglettes diffusent une lumière blanche claire et homogène apportant une visibilité parfaite et un aspect moderne à vos espaces.<br><br><strong>Détails Techniques</strong><br>Type Réglette lumineuse LED<br>Longueur 120 cm<br>Couleur Blanche<br>Couleur du boîtier et du câble Blanc<br>Longueur du câble 5 mètres<br>Alimentation Secteur,5.00 EUR,https://maboitealocangevine.github.io/website/,images/barreLed.webp,images/barreLed2.webp,2,Oui,Oui,40
104,Guirlande Lumineuse Guinguette (70m),Créez une ambiance chaleureuse et féerique pour tous vos événements intérieurs comme extérieurs. Avec ses 70 mètres de lumières couleur jaune chaud et son fil noir discret cette guirlande est idéale pour décorer des salles des jardins ou des tonnelles. Elle est facile à installer et dispose de plusieurs modes pour s adapter à l atmosphère souhaitée.<br><br><strong>Détails Techniques</strong><br>Longueur 70 mètres<br>Couleur des LED Jaune Chaud<br>Couleurs du fil Noir<br>Fonctionnalités Plusieurs modes de scintillement possibilité de rester statique<br>Alimentation Branchement sur secteur<br><br><strong>Conditions d Usage</strong><br>Usage Intérieur et Extérieur<br>Sécurité En extérieur il est impératif d abriter la prise secteur et d éviter tout écoulement d eau sur le boîtier de branchement.,5.00 EUR,https://maboitealocangevine.github.io/website/,images/guirlande.webp,,1,Oui,Oui,40
105,Vidéo-projecteur,Idéal pour sublimer vos événements présentations professionnelles ou soirées de cinéma. Grâce à son excellente luminosité de 3000 lumens cet équipement est facile à transporter et à installer garantissant une image claire et contrastée même dans un environnement légèrement éclairé. Il est parfait pour des projections de qualité ajoutant une touche professionnelle et conviviale à tous vos rassemblements.<br><br><strong>Détails Techniques</strong><br>Modèle Epson EB-W22<br>Résolution native WXGA 1280 x 800<br>Technologie 3LCD pour des couleurs naturelles et homogènes<br>Puissance lumineuse 3000 lumens<br>Connectiques HDMI VGA USB audio<br>Utilisation Compatible ordinateur console ou clé HDMI<br><br><strong>Contenu et Options</strong><br>Inclus Câble HDMI de 5 mètres Adaptateur compatible avec les nouvelles prises HDMI Housse de transport rigide et pratique<br>Option Micro filaire professionnel,15.00 EUR,https://maboitealocangevine.github.io/website/,images/videoprojecteur.webp,images/videoprojecteur2.webp,1,Oui,Oui,350
106,Enceinte 300W,L enceinte Audiophony ATOM 10A offre puissance et clarté pour vos soirées mariages et conférences. Polyvalente et robuste elle permet une diffusion immédiate via Bluetooth ou entrées filaires depuis smartphone tablette et ordinateur.<br><br><strong>Détails Techniques</strong><br>Puissance 300W RMS 1200W Dynamic<br>Réglages DSP intégré modes Musique Live DJ Monitor<br>Connectique 2 entrées séparées avec volumes réglables<br>Usage Simple et rapide smartphone micro platine<br><br><strong>Accessoires Inclus</strong><br>Câble Jack Jack<br>Adaptateur Jack USB C<br>Module Bluetooth autonomie 3h,20.00 EUR,https://maboitealocangevine.github.io/website/,images/enceinte.webp,images/enceinte2.webp,1,Oui,Oui,250
107,Chevalet bois,Idéal pour vos événements créatifs réceptions expositions de menus ou plans de table ce chevalet de peintre en bois apporte une touche naturelle et élégante à votre décoration. Conçu en bois certifié FSC il allie esthétique stabilité et praticité. Léger et entièrement pliable il se transporte facilement et s installe en quelques instants. Sa structure réglable permet d accueillir différents formats de toiles cadres ou affichages tandis que ses pieds antidérapants assurent une excellente stabilité même sur sol lisse.<br><br><strong>Détails Techniques</strong><br>Modèle Van Bleiswijck<br>Matériau Bois clair certifié FSC<br>Dimensions 68 x 56 x 158 cm<br>Hauteur maximale de toile 62 cm<br>Réglages Hauteur et inclinaison modulables<br>Format Pliable pour un transport facilité,5.00 EUR,https://maboitealocangevine.github.io/website/,images/chevalet.webp,images/chevalet2.webp,1,Oui,Oui,20
108,Fauteuils aluminium,Ma boîte à loc Angevine vous propose à la location ces fauteuils en aluminium idéaux pour vos réceptions terrasses ou événements. Ultra légers et empilables ils s installent en un clin d œil. Très facilement nettoyables ils offrent un confort moderne pour vos convives.<br><br><strong>Détails Techniques</strong><br>Matériau Aluminium ultra léger et robuste<br>Poids 2.4 kg par unité<br>Hauteur assise 43 cm<br>Hauteur totale 73.50 cm<br>Entretien Très facilement nettoyable<br>Spécificité Patins de protection pour les sols lisses<br>Usage Intérieur et extérieur,3.00 EUR,https://maboitealocangevine.github.io/website/,images/fauteuil.webp,,10,Oui,Oui,40
